date,symbol,signal_time,entry_time,strategy_entry,entry_price,quantity,position_rs,stop_loss,target,rr,strategies_fired,agreeing_count,composite_score,driver_strategy,reason,exit_time,exit_price,exit_reason,result,pnl_rs,pnl_pct,predicted_win_pct,conviction_tier
2026-06-29,GRSE,09:15,09:21,2697.5,2699.9,185,499481.5,2645.95,2780.82,1.5,"ADX-FILTER,BOLLINGER,DAILY-BIAS,RSI-EXT",4,4.0,RSI-EXT,"RSI-EXT: RSI=21.6 oversold, buy reversion",15:15,2674.1,TIME_EXIT,LOSS,-5497.42,-1.1,60.0,MEDIUM
2026-06-29,JSWSTEEL,09:15,09:21,1243.8,1245.7,401,499525.7,1270.58,1208.39,1.5,"BOLLINGER,DAILY-BIAS,DBL-TOP,RSI-EXT",4,4.0,RSI-EXT,"RSI-EXT: RSI=82.8 overbought, sell reversion",15:15,1234.0,TIME_EXIT,WIN,3966.12,0.79,60.0,MEDIUM
